pathway	DMG2400338	DMG2400339	DMG2400340	DMG2400341	DMG2400342	DMG2400343	DMG2400344	DMG2400345	DMG2400346	DMG2400347	DMG2400348	DMG2400349	DMG2400350	DMG2400351	DMG2400352	DMG2400353	DMG2400354	DMG2400355	DMG2400356	DMG2400357	DMG2400358	DMG2400359	DMG2400360	DMG2400361	DMG2400362	DMG2400363	DMG2400364	DMG2400365	DMG2400366	DMG2400367	DMG2400368
GLUCONEO-PWY	567.9164639103479	2290.324148913445	1130.5827487747183	573.9521952262951	1066.1598842998835	1687.0455862765518	1340.9578812635618	1475.9782230674516	1155.791154983733	479.0055891500445	1514.2847053960318	436.2849206524202	1218.9989327397222	1127.1816254251974	240.99880628982322	277.64874549085545	128.56899818180474	426.27685619588107	262.03850146101087	332.0659746006604	306.2573844059785	4379.22532143954	314.07353859167034	129.24051548291067	167.11220690031013	294.32774807556234	341.783152304945	313.4093861863741	2836.5886980580703	385.4238693880958	223.68554383092547
GLUCUROCAT-PWY	164.6881451411185	399.7899871987074	714.4932143043854	693.3409102921316	957.4142986387698	318.9061669893209	490.97872245952135	581.8468878844384	519.9525582349376	278.08108911778436	461.5033365864881	662.0290002950877	356.55847908658166	201.90563289224127	47.58635992568404	80.01363599330595	19.63128071823325	109.00901415732982	140.32378526874385	159.42820162767873	157.10172276542093	3028.027631591538	179.68061412250128	52.76184538653366	143.09629820679547	47.035546220859395	335.47501271724485	42.53420938661412	1126.900817641614	355.1920991787382	24.350350298784257
GLUTORN-PWY	307.8285690121786	441.83988764044943	1092.914381638565	1019.1165598817151	1424.8985626392277	518.0663598574821	927.0094625593971	968.4257673668917	1114.3536380696644	931.8092297506523	1161.078180576672	1190.3499535784658	877.4823882665434	509.4480160746889	186.65212649945477	113.86986301369863	138.2770642201835	313.9827969019056	261.1657740993184	455.69275274056025	362.7257106545224	5045.755738866498	326.5499533146592	60.48456260720412	127.38172920065254	229.88555357540653	347.1328072756986	227.48260227752002	1991.8391137772849	625.3672327752737	22.26724137931034
GLYCOCAT-PWY	571.6683624746495	1081.0299143888212	1773.3082723116454	1552.2804955023107	2425.53423621961	1266.9603586957949	1957.939300562583	1707.7208983655185	2188.701541069662	1951.8140303306488	2146.292239787038	1863.7881327814446	1929.5746689277578	1196.1099506030046	433.2083903314113	271.6261579278328	187.91242062768956	650.0225531390986	424.9589769503952	647.7639499495632	590.2715201815016	7715.514275804442	615.3336861473047	116.56120517673538	227.58255255320535	365.5075742038037	611.3472248140521	338.2651690659002	4196.034486407991	951.9987631681986	96.90663719073677
GLYCOGENSYNTH-PWY	656.2993426526828	1434.3630479740575	1613.5715289189288	1447.6712774336977	2079.380544994677	1680.835926168273	2388.4781433975704	1655.106680723931	2392.3210782275264	1733.9992060196994	2286.94290391134	1914.673958711612	2299.786226481213	1767.7842796060702	336.74407205116506	352.6520110984001	194.4428614722016	629.3889592956406	395.9242073927199	625.5185329318174	524.8254487093473	6966.20924699082	505.36966149610464	138.40240518201637	194.68773880402745	384.4259823525678	511.7310883344285	396.05660597101524	3754.0360257275465	883.1593468347302	369.62944374738595
GLYCOLYSIS	618.2041089563116	2257.0122705507615	1165.8393791292388	638.2485940315194	1323.7303314985777	2741.7257733198967	3030.735804358591	1922.3144034535744	2310.865860033472	3921.1538688260343	2268.592496730015	1930.4857584851025	2026.2011662964792	1575.2053787525356	380.6243670918853	304.8512994495056	130.41405967111675	552.5894133501077	315.2057672873068	459.61455798394934	383.3022249319799	4541.633165439413	328.24708351602374	134.22051035186556	170.6359351909884	383.89079900129985	205.03692358492512	401.17385414368744	8984.293919119833	485.45663197308016	168.12568368394722
GLYCOLYSIS-E-D	0.0	260.41017273864884	0.0	0.0	0.0	0.0	0.0	0.0	169.6068581731441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.09412407945428	0.0	0.0	0.0	0.0	0.0	140.1809126351344	409.0966903737121	0.0	0.0
GOLPDLCAT-PWY	0.0	41.239583786843134	0.0	0.0	0.0	171.7228763975182	236.1914576050545	55.239918948435985	59.06041904761906	161.58006411944183	0.0	28.76066760347061	0.0	100.54774566673274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	385.51479918658765	0.0	0.0
HEMESYN2-PWY	283.6465323048058	227.6885889066463	204.95026794905277	84.26517573311308	241.3908732629287	378.6331851400689	848.6655579023114	362.39979871487793	734.3959492721348	394.33599515329627	721.1919170682174	484.8682032538128	517.4790847352367	351.2356876172094	0.0	78.6897404920942	19.21897121283624	174.0066643457502	76.80260787241725	107.55712235755763	84.20991763772413	550.2399314024748	55.21400982655405	56.125346308756086	0.0	152.70084152725582	0.0	141.53393085787454	1089.2397899333282	74.09288901055099	0.0
HEXITOLDEGSUPER-PWY	0.0	36.79515056056479	129.85462720383697	0.0	48.42834962442794	0.0	0.0	63.4183082835054	133.5953193500735	0.0	86.11147374987547	128.79730487687235	57.28754193090391	37.514380715078104	0.0	0.0	0.0	0.0	0.0	0.0	31.565749600936805	74.21762606192831	0.0	0.0	0.0	0.0	0.0	0.0	180.23798755580827	0.0	0.0
HISDEG-PWY	17.0	0.0	0.0	0.0	0.0	0.0	25.0	46.0	43.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	64.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	60.0	0.0
HISTSYN-PWY	378.3326715346956	619.4262365591397	1148.3962946629651	1036.0363701723186	1464.1724122319547	589.0207035871251	963.3272209895026	1043.905445194806	1147.3059588462181	967.173876782079	1244.0550204185581	1189.822866756806	916.3584799230556	566.8455860109203	199.30622458554896	135.43729372937293	145.66459627329192	354.0717356260075	276.739445678868	458.76319960633896	377.21706701199446	5264.141303034155	342.9217647058823	81.82403433476394	170.13809245172618	254.0828435177997	370.6279702891936	233.67062056565342	2091.122092991528	595.3639597026688	32.31355932203389
HOMOSER-METSYN-PWY	117.79713699647023	180.0513219468852	91.16060308904831	0.0	41.24412283467172	170.39652191302963	126.1860715415479	66.34163239263023	235.65530524217095	132.04599911317024	249.83528708656144	139.57262591894556	128.27064442843687	199.25961239294801	0.0	0.0	0.0	41.82574459036253	0.0	79.39616505223954	116.84248255321455	261.0388428708882	0.0	0.0	0.0	49.81470684229555	0.0	0.0	480.1486625124378	0.0	0.0
HSERMETANA-PWY	98.27147188460427	174.61619820524794	0.0	0.0	0.0	166.2254114778796	125.75004019750072	32.460126635502704	235.79470791988405	133.06222297585973	177.21019377060628	81.1157627864821	127.83515833762623	181.50987757742962	0.0	0.0	0.0	42.06160940118451	0.0	81.48887618413796	0.0	263.05290783420264	0.0	0.0	0.0	50.47754645451096	0.0	0.0	485.44900952079945	0.0	0.0
ILEUSYN-PWY	648.6828710152337	987.0916365762884	1585.0462901348023	1416.1618760710533	2111.0657265076743	1088.4649153239016	1672.7521236092955	1589.1629229636367	2035.1026388124656	1638.4788259242398	2039.6937254030054	1819.9547290403254	1698.5978391475485	1029.4078600888984	362.1248501402218	235.96600296615284	213.7490161279114	605.6334615715513	391.94398196044864	636.1821102045498	492.5261669205945	7136.828523510556	521.7116827491697	134.99339192791336	212.62650629926435	326.34412795567107	504.00509682480197	332.39192809197164	3443.4017592165774	853.2778684172264	56.742506315221675
LACTOSECAT-PWY	254.4466019417476	1363.473533045816	162.93129770992365	66.98760671991188	197.45604974282924	2110.5233460323375	1950.1254580040218	489.32977296618054	1114.2326467247744	1198.1846753005284	971.7473750544151	533.5061548368749	1244.8533703911908	1286.9170440919074	128.6201550387597	198.49730561970745	19.429783968035395	195.78015703069235	65.64233343959198	49.4445673821642	68.09956202025992	551.7309509155017	42.77634961439588	59.27214170692432	0.0	147.5886908097448	0.0	149.60578451344273	2616.075562911381	67.60163825392935	345.1428571428571
MET-SAM-PWY	171.6231499301791	280.549433171983	137.220034062934	0.0	63.36975887073253	268.95034999893494	194.24754033594058	101.34002810113275	353.0370977414591	202.0089889768585	371.6858517242978	209.56765119591836	196.07174870493105	310.56987535621533	0.0	0.0	0.0	63.100295343532466	0.0	116.61863180986576	161.88273108155315	397.81968249919163	0.0	0.0	0.0	74.41740333919337	0.0	0.0	727.3858101654088	0.0	0.0
METH-ACETATE-PWY	0.0	0.0	23.055862645806947	21.657061874951495	0.0	0.0	0.0	0.0	0.0	20.168982527845433	0.0	28.411089503853795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.88907116781616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NAD-BIOSYNTHESIS-II	0.0	49.65770882393684	115.97734629359972	93.83994927139068	19.261291504426286	19.127550411645387	76.43006940809427	170.4286275241336	96.99502820114405	125.79841554386167	240.1724375976456	104.56908818076325	23.080314663903152	82.16215831814748	0.0	0.0	0.0	0.0	36.47002601815961	84.72114467408586	69.1080037474849	639.7783534266808	0.0	0.0	76.87925696594428	0.0	37.13058101552251	39.25353145315021	57.51714959901872	18.59208045254557	0.0
NAGLIPASYN-PWY	136.3888888888889	327.09251101321587	141.11111111111111	35.016931084216466	78.88888888888889	88.05555555555557	80.45380875202594	191.56272172106225	84.61016949152543	18.333333333333336	131.94444444444446	19.166666666666668	84.99999999999999	82.77777777777777	20.555555555555554	40.27777777777778	12.5	51.11111111111111	27.777777777777775	24.444444444444446	27.222222222222225	728.3387838991442	32.77777777777778	50.55555555555555	107.77777777777779	36.66666666666667	40.27777777777778	57.24874371859296	162.53647139275128	24.166666666666668	17.5
NONMEVIPP-PWY	378.3648860090408	720.3476750815256	1250.4894028318506	1139.4450860174977	1622.09388880267	739.0575361711394	1255.2799287715666	1192.1172656685112	1344.392316330191	1245.2552439632505	1340.5087192132448	1324.8775537988197	1062.9402122271515	633.1843915744932	228.81934024596887	155.3667636646289	157.38410298286982	371.77782717536525	290.13412136805243	467.1371428934078	383.48574240650595	5656.550140625108	376.8529446267327	87.62922898385969	171.87493403693935	240.56250523764479	403.44924357936117	242.01256927732314	2556.847490859323	674.6747552916326	41.78379200747025
NONOXIPENT-PWY	802.735701247338	2897.3597351800963	2078.5978072004496	1909.6904777204056	2599.0878537808326	5495.4023867532505	4104.188574923153	2471.283000107659	2928.775963467716	6730.433097894216	2818.149534571251	2585.121525892492	2359.778125226086	1721.630393345816	454.4039235412475	324.29834354825874	343.0039784043962	692.3342457045452	501.9235467064173	836.2426884488331	702.059906542577	9306.521280390602	587.1269342803876	162.32361963190183	232.49440919256014	487.0044470795296	671.8779145148135	472.3480062783545	15501.555868129612	1134.3841606191147	58.38204557179797
OANTIGEN-PWY	363.9123287452298	2538.0309778252995	911.1615333800593	817.4367305445522	1152.334033379191	4836.736627325535	2914.836954597341	1326.258184903251	1601.6813666689511	5658.913734605433	1533.877449394115	1290.6298349809479	1347.5239368982711	1181.3483476128533	254.5539604503764	195.397751303271	97.22530193391937	343.0365871367271	221.90992508301986	354.76427949469627	276.7783302975526	4331.559238464644	118.07014592007062	73.10783887736538	0.0	238.25542663856243	173.83929401960543	276.39771852636943	13191.279965513806	378.6159852398558	83.78596333336246
P108-PWY	213.83317878757134	488.82075501155185	292.8715080367757	105.73739243758895	154.83839709044491	174.56382187308398	124.71404106404258	351.39030825551816	145.35742137684252	59.054906832919286	260.8865019153906	60.92253024269254	228.55112229915773	144.31078702918956	35.70934230773914	66.07327414866836	21.574829827209165	85.92298919890378	47.035047940713824	42.601289471530784	46.890138525607874	1044.4771215175633	55.34805469566209	73.9913294689952	152.87306392278768	61.16805003507131	68.89381047027047	40.298399438165674	258.89985836330067	42.45018481209712	27.863870077071084
P122-PWY	330.8455476418557	2910.518833824958	411.16619935637607	241.13688467883313	369.5062904436967	5370.8239274274165	3204.9425802427236	1175.8491810254532	1540.642708491431	5771.671736509326	1394.966606983096	856.2614752936202	1538.3795045413005	1589.7996546560398	238.6136372048689	241.12001196846796	22.586447734001386	299.00453569546534	124.27938685497742	111.5405179050505	135.63875285389238	1412.9124423471487	78.35532023722382	77.86054235992492	0.0	159.58741306278657	0.0	197.5098638608756	13620.439367875737	141.7219736861468	333.6301121992142
P124-PWY	406.39002487830123	3286.6906765461026	580.1433708708693	379.733845299655	540.2111734845503	6043.469548485005	3824.692565415995	1474.8547128565713	1990.9753103533285	6538.095803160695	1827.4137465464912	1204.0984325374257	1951.932972510158	1936.9412995303587	291.11586311371286	297.03207662326736	33.85181938592477	396.21618080566964	187.9862957545732	155.04616737740403	218.20978965331992	2072.256735590981	104.43927814239218	94.2922973866897	0.0	221.87357629902866	0.0	275.2706096534961	15365.494108855455	289.7232284690442	390.1115071920847
P125-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.42738378857078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P161-PWY	526.3135513135513	3727.8289601285637	724.6779290228487	760.9017044726387	924.4758812615956	7175.904043958018	4490.696634891467	1577.1973423624863	2244.1208362426582	7599.800285759645	2048.2265570894315	1672.971656333038	2113.938034891376	2241.271740534953	248.0494983277592	295.43985079266395	155.59100191547125	367.3179026924893	240.85374149659864	454.06757438224906	255.27311220889203	3628.659478513296	220.2063385030344	110.0355239786856	0.0	375.04306220095697	292.9972057282571	395.11441465357046	18013.96817141605	538.3664921465969	456.74833501513626
P162-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.40459679874171	65.92927813250171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P164-PWY	240.27616313000445	77.0456812507323	301.66002717397015	364.7256219330387	342.911099765691	170.42983324422926	409.4113421868601	315.66203976772647	322.69763573846177	319.33626531564704	404.6893716617286	519.0023899437167	232.33376792698823	224.77561057484252	0.0	23.42252687984968	140.55890623479766	62.22294152813605	120.697877502803	271.144021642289	116.15048450146924	1600.0440314487723	29.49152542372881	54.353279868394	0.0	60.33035084176154	86.11872028317076	126.42632693284472	453.5749897365449	306.58256668566503	0.0
P23-PWY	0.0	173.20603961176323	0.0	0.0	0.0	0.0	0.0	0.0	108.89371099749937	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.39943416618425	0.0	0.0	0.0	0.0	0.0	0.0	246.07603269276484	0.0	0.0
P341-PWY	268.5660776781369	54.39626617425704	237.2251074532029	281.0200339510758	245.78570899975261	102.55973886034715	216.03630545857666	275.21220991910803	246.77084488397045	169.64667449904198	338.22975466774767	416.71309586907756	132.51732882672462	106.2330821555412	0.0	30.7087410957825	146.9569130444375	33.687824705427325	50.54707281014847	174.7944919250398	98.90358667252904	841.0390198554045	38.99417024913006	60.40384578285697	0.0	0.0	48.12926307360043	55.106528021731	79.73173047984807	52.8981654834854	0.0
P4-PWY	206.57046958019384	375.64633814363475	0.0	0.0	69.84337009607057	378.7409227095242	303.75156981789405	109.74293485710152	417.29508969307113	307.8815085045181	462.78654197799773	245.2396105005454	264.68320094595856	412.94060530933154	0.0	0.0	0.0	96.9928402819448	0.0	167.37663963312167	82.76000693437595	858.9115610241034	0.0	0.0	0.0	106.03931432597776	0.0	0.0	1004.1877282419495	0.0	0.0
P42-PWY	397.85907023271943	969.2048881731006	519.1610372835861	164.5000223729598	327.1305243211847	434.0960530975488	377.5252944692846	695.6426040616661	369.95590547066104	108.87403552158068	608.4030348901514	112.40439092540024	417.63453963178995	385.2794699607453	83.31766679955827	147.7006915814979	43.99087658323465	191.98821978517967	107.78371476702807	101.86549417968239	122.96245149132181	1709.0941978521705	107.71335371242519	122.22039986281874	183.19857640021937	129.81262781469852	89.49479110814984	155.35408027422918	694.5491240826279	105.40740343386715	60.72227584027485
P441-PWY	0.0	495.5400944710499	0.0	0.0	0.0	0.0	0.0	0.0	334.72933512555653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.38429936405802	0.0	0.0	0.0	0.0	0.0	224.03934377554012	804.9851500071264	0.0	0.0
P461-PWY	37.7152172704874	161.12875711151017	103.81356420130251	0.0	50.98020675393212	0.0	0.0	45.105878163914014	110.7303545251972	0.0	186.42251238018474	81.77336049018282	50.99466644416775	66.10564782108399	0.0	0.0	0.0	0.0	0.0	0.0	122.61610130424478	38.63506446124673	0.0	0.0	0.0	0.0	0.0	99.11799761620978	237.97976696331548	0.0	0.0
